,segmentId,frc,speedLimit,streetName,distance,timeSet,dateRange,probeCount
26407,13600001063824,3,50,Jalan Veteran 3,12.27,2,1,24254
26408,13600001331864,5,50,Jalan Letnan Jenderal Suprapto,179.92,2,1,4375
26409,13600001122105,1,80,Jalan Insinyur Haji Juanda,117.36,2,1,30340
26410,13600001324771,4,80,Jalan Budi Utomo,67.24,2,1,966
26411,13600001351988,1,80,Jalan Suryo Pranoto,37.08,2,1,26496
26412,13600001756130,3,40,Jalan Letnan Jenderal Suprapto,83.85,2,1,36530
26413,13600003068773,5,40,Jalan Letnan Jenderal Suprapto,23.43,2,1,3444
26414,13600001279958,4,50,Jalan Gunung Sahari 3,93.0,2,1,10409
26415,13600001515509,2,80,Jalan Gunung Sahari,149.56,2,1,17208
26416,13600002326721,1,80,Jalan Majapahit,34.76,2,1,13819
26417,13600001505365,4,50,Jalan Gunung Sahari 3,14.89,2,1,8546
26418,13600002067945,1,50,Jalan Veteran,15.93,2,1,35017
26419,13600001374042,5,50,Jalan Letnan Jenderal Suprapto,45.13,2,1,7761
26420,13600002752094,0,80,Jalan Tol Insinyur Wiyoto Wiyono,193.08,2,1,52731
26421,13600001519729,1,50,Jalan Veteran,37.12,2,1,35459
26422,13600001111633,5,50,Jalan Kepu Selatan,7.78,2,1,888
26423,13600001108333,4,50,Jalan Bungur Besar,42.33,2,1,9914
26424,13600001902483,4,50,Jalan Gunung Sahari 2,14.17,2,1,366
26425,13600001108332,4,50,Jalan Bungur Besar,41.96,2,1,8572
26426,13600001468572,5,50,Jalan Kali Baru Timur 6,6.69,2,1,950
26427,13600001252906,5,50,Jalan Kepu Timur,65.19,2,1,1128
26428,13600001194578,5,50,Jalan Kepu Selatan,130.15,2,1,765
26429,13600001498577,5,50,Jalan Kepu Selatan,35.18,2,1,862
26430,13600001015039,5,50,Jalan Kepu Selatan,159.95,2,1,644
26431,13600001468573,5,50,Jalan Kali Baru Timur 6,7.43,2,1,974
26432,13600001468571,5,50,Jalan Kali Baru Timur 6,3.68,2,1,977
26433,13600001570997,3,50,Jalan Utan Panjang Timur,65.07,2,1,19592
26434,13600002573449,1,50,Jalan Veteran,7.86,2,1,36017
26435,13600001125425,4,50,Jalan Gunung Sahari 2,194.26,2,1,1095
26436,13600002573444,1,50,Jalan Veteran,6.0,2,1,36055
26437,13600002329788,1,80,Jalan Veteran,100.98,2,1,36833
26438,13600001105373,4,50,Jalan Budi Utomo,65.53,2,1,15636
26439,13600001504304,4,50,Jalan Gunung Sahari 2,110.05,2,1,1169
26440,13600001502372,2,80,Jalan Gunung Sahari,38.33,2,1,20490
26441,13600001250473,5,50,Jalan Letnan Jenderal Suprapto,81.64,2,1,6953
26442,13600002574900,1,80,Jalan Majapahit,58.19,2,1,14975
26443,13600002325765,1,60,Jalan Kathedral,93.09,2,1,15862
26444,13600001570994,3,50,Jalan Utan Panjang Timur,33.18,2,1,19647
26445,13600001515319,4,50,Jalan Bungur Besar,52.09,2,1,10278
26446,13600003181752,5,50,Jalan Kepu Selatan,13.96,2,1,70
26447,13600002228182,4,50,Jalan Bungur Besar,53.94,2,1,7575
26448,13600001466127,5,50,Jalan Letnan Jenderal Suprapto,50.45,2,1,6933
26449,13600001233385,5,50,Jalan Kali Baru Timur 6,70.68,2,1,963
26450,13600002448933,4,50,Jalan Am Sangaji,73.42,2,1,6165
26451,13600003692977,4,50,Jalan Am Sangaji,4.48,2,1,6593
26452,13600001439585,5,50,Jalan Letnan Jenderal Suprapto,46.64,2,1,4675
26453,13600002827110,4,50,Jalan Perintis Kemerdekaan,104.72,2,1,1492
26454,13600003879944,5,50,Jalan Kali Baru Timur 6,20.85,2,1,1510
26455,13600003480164,1,80,Jalan Suryo Pranoto,12.04,2,1,17432
26456,13600001469317,3,50,Jalan Utan Panjang Barat,57.87,2,1,19946
26457,13600001020831,5,50,Jalan Kali Baru Timur 6,133.55,2,1,1434
26458,13600002567599,5,50,Jalan Kali Baru Timur 6,7.86,2,1,1354
26459,13600002567600,5,50,Jalan Kali Baru Timur 6,14.84,2,1,1351
26460,13600001570992,3,50,Jalan Utan Panjang Timur,56.18,2,1,19445
26461,13600002567598,5,50,Jalan Kali Baru Timur 6,7.64,2,1,1351
26462,13600002012424,1,80,Jalan Suryo Pranoto,8.17,2,1,17644
26463,13600001351990,1,80,Jalan Suryo Pranoto,12.17,2,1,26719
26464,13600001351987,1,80,Jalan Suryo Pranoto,8.21,2,1,26752
26465,13600002820987,4,50,Jalan Bungur Besar,64.67,2,1,7554
26466,13600001621580,3,50,Jalan Rasa Mulya 1,31.09,2,1,20805
26467,13600001649497,5,50,Jalan Letnan Jenderal Suprapto,144.37,2,1,4541
26468,13600002063875,4,50,Jalan Perintis Kemerdekaan,188.23,2,1,897
26469,13600001062523,5,50,Jalan Kali Baru Timur 5,50.99,2,1,1412
26470,13600002326815,3,50,Jalan Doktor Wahidin,15.46,2,1,13027
26471,13600001339927,1,50,Jalan Lapangan Banteng Utara,43.16,2,1,25077
26472,13600002326817,3,50,Jalan Doktor Wahidin,6.1,2,1,13021
26473,13600001621585,3,50,Jalan Rasa Mulya 1,43.7,2,1,20769
26474,13600001575784,1,40,Jalan Perintis Kemerdekaan,297.73,2,1,40300
26475,13600002326819,3,50,Jalan Doktor Wahidin,10.9,2,1,12974
26476,13600001088612,1,80,Jalan Majapahit,148.89,2,1,15114
26477,13600002019985,4,50,Jalan Perintis Kemerdekaan,196.72,2,1,1432
26478,13600001529591,1,80,Jalan Majapahit,7.81,2,1,139
26479,13600001252789,5,50,Jalan Letnan Jenderal Suprapto,138.18,2,1,4410
26480,13600001351989,1,80,Jalan Suryo Pranoto,60.57,2,1,26515
26481,13600001105343,1,80,Jalan Suryo Pranoto,41.07,2,1,27081
26482,13600001909144,5,50,Jalan Kali Baru Timur 5,44.83,2,1,1401
26483,13600003179779,4,30,Jalan Suryo Pranoto,15.58,2,1,395
26484,13600001143794,4,50,Jalan Bungur Besar,92.8,2,1,7353
